127.0.0.1 - - [15/Jan/2019:19:21:23 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:21:32 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:21:33 +0530] "GET /hotel/image/rad3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:21:33 +0530] "GET /hotel/image/rad5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:21:33 +0530] "GET /hotel/image/rad1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:21:33 +0530] "GET /hotel/image/rad2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:21:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:22:51 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:23:47 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 500 3350
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:23:49 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:23:49 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:23:50 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:23:51 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:23:52 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:25:48 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:25:50 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:26:52 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:26:54 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:26:59 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 5191
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:26:59 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:26:59 +0530] "GET /hotel/image/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:26:59 +0530] "GET /hotel/image/img8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:26:59 +0530] "GET /hotel/image/img9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:27:42 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:27:43 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:28:04 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3274
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:28:16 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3261
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:28:17 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3261
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:28:28 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:28:29 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:28:30 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:29:13 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3106
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:29:14 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3106
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:29:15 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3106
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:29:39 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:29:40 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:29:41 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [15/Jan/2019:19:29:42 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3057
