127.0.0.1 - - [19/Jan/2019:12:34:55 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:07 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:08 +0530] "GET /hotel/image/rad1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:08 +0530] "GET /hotel/image/rad5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:08 +0530] "GET /hotel/image/rad2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:08 +0530] "GET /hotel/image/rad3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:20 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 3571
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:20 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:26 +0530] "GET /hotel/contact.jsp HTTP/1.1" 200 5040
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:27 +0530] "GET /hotel/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:27 +0530] "GET /hotel/image/img12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:27 +0530] "GET /hotel/image/img10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:27 +0530] "GET /hotel/image/img13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:27 +0530] "GET /hotel/image/img4 HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:30 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:30 +0530] "GET /hotel/image/dow2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:30 +0530] "GET /hotel/image/dow4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:30 +0530] "GET /hotel/image/dow1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:30 +0530] "GET /hotel/image/dow3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:35:33 +0530] "GET /hotel/about.jsp HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:36:17 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:36:18 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:36:51 +0530] "GET /hotel/book.jsp HTTP/1.1" 500 5693
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:36:52 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:36:53 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:36:54 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:40:38 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:40:38 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:40:39 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:40:54 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:40:55 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:40:56 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:40:57 +0530] "GET /hotel/book.jsp HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:40:58 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:40:59 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:41:00 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:41:00 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:41:01 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:41:01 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:41:01 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3335
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:41:19 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:41:20 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [19/Jan/2019:12:41:34 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3297
