127.0.0.1 - - [18/Jan/2019:18:36:11 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:36:27 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:36:28 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 200 107255
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:36:28 +0530] "GET /hotel/image/rad5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:36:28 +0530] "GET /hotel/image/img3.jpg HTTP/1.1" 200 135997
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:36:28 +0530] "GET /hotel/image/img2.jpg HTTP/1.1" 200 11145
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:36:28 +0530] "GET /hotel/image/img4.jpg HTTP/1.1" 200 9823
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:36:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:38:04 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4085
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:38:04 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:38:04 +0530] "GET /hotel/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:38:04 +0530] "GET /hotel/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:38:04 +0530] "GET /hotel/image/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:38:26 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:38:26 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:38:26 +0530] "GET /hotel/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:38:26 +0530] "GET /hotel/image/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:38:26 +0530] "GET /hotel/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:12 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4081
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:12 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:12 +0530] "GET /hotel/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:12 +0530] "GET /hotel/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:12 +0530] "GET /hotel/image/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:13 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4081
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:36 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4064
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:37 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4064
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:37 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:37 +0530] "GET /hotel/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:37 +0530] "GET /hotel/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:39:37 +0530] "GET /hotel/image/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:40:37 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:40:37 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:40:37 +0530] "GET /hotel/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:40:37 +0530] "GET /hotel/image/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:40:37 +0530] "GET /hotel/image/img5.jpg HTTP/1.1" 200 8046
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:40:39 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:40:40 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:40:41 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:40:55 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:40:56 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 4045
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:41:09 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 3643
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:45:01 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:45:01 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:46:00 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:46:00 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:47:15 +0530] "GET /hotel/login.jsp HTTP/1.1" 500 3350
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:47:17 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:47:17 +0530] "GET /hotel/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:47:18 +0530] "GET /hotel/login.jsp HTTP/1.1" 200 3571
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:47:21 +0530] "GET /hotel/homepage.jsp HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:47:21 +0530] "GET /hotel/image/rad1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:47:21 +0530] "GET /hotel/image/rad2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2019:18:47:21 +0530] "GET /hotel/image/rad3.jpg HTTP/1.1" 304 -
